found_date,id,title,company,location,created,salary_min,salary_max,category,url
2026-07-06,5789179924,Early Years Teaching Assistant,Redhill Primary School,"Cannock, Staffordshire",2026-07-05,25186,25989,Teaching Jobs,https://www.adzuna.co.uk/jobs/details/5789179924?utm_medium=api&utm_source=bce444a8
2026-07-06,5789179550,Expert Agentic AI Engineer,Description Ciklum,"London, UK",2026-07-05,71858.56,71858.56,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789179550?utm_medium=api&utm_source=bce444a8
2026-07-06,5789179408,"Research Scientist, Reinforcement Learning, DeepMind",Google,"London, UK",2026-07-05,60332.35,60332.35,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789179408?se=tjJkVS158RGvJL6ICLaauw&utm_medium=api&utm_source=bce444a8&v=3157077436EBAA908049FBA6783F0FB5A80E74B0
2026-07-06,5787488202,eDV Data Scientist,NSD,"Cheltenham, Gloucestershire",2026-07-04,95000,95000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5787488202?se=wu7QUi158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=CF487E4DCAB4E447628DCE63BB642D16B7A17230
2026-07-06,5787104513,IIoT and Industrial AI Solution Architect,EUROPEAN SOFTWARE SOLUTIONS  LIMITED,"Warwick, Warwickshire",2026-07-03,143000,143000,IT Jobs,https://www.adzuna.co.uk/jobs/details/5787104513?utm_medium=api&utm_source=bce444a8
2026-07-07,5790881360,Data Architect,Experis,"Fleet Street, Central London",2026-07-07,60000,90000,IT Jobs,https://www.adzuna.co.uk/jobs/details/5790881360?utm_medium=api&utm_source=bce444a8
2026-07-07,5790738985,AI Engineer Placement Programme No Experience Needed,IT Online Learning,"Liverpool, Merseyside",2026-07-07,75000,75000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5790738985?se=MNFr0-158RGeHY1Elccfvg&utm_medium=api&utm_source=bce444a8&v=83BED8C0BACA3F6E03008783894013AF0A76610B
2026-07-07,5790718557,AI Engineer / Machine Learning Engineer,Version 1,UK,2026-07-07,61942.76,61942.76,IT Jobs,https://www.adzuna.co.uk/jobs/details/5790718557?utm_medium=api&utm_source=bce444a8
2026-07-07,5790631406,Data Scientist,Peregrine,"Sheffield, South Yorkshire",2026-07-07,64270.44,64270.44,IT Jobs,https://www.adzuna.co.uk/jobs/details/5790631406?utm_medium=api&utm_source=bce444a8
2026-07-07,5790528456,Data Scientist,Peregrine,"Walkley, Sheffield",2026-07-07,61067.11,61067.11,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5790528456?se=MNFr0-158RGeHY1Elccfvg&utm_medium=api&utm_source=bce444a8&v=E70272B2741839174334D33394E040775D767750
